      MACH      ALPHA     C-lift     C-drag       C-my
0.80000000 -6.00000000 -0.43980958 0.07382993 -0.01608658
0.80000000 -5.86868687 -0.43675397 0.07177379 -0.01619822
0.80000000 -5.73737374 -0.43391129 0.06974726 -0.01625344
0.80000000 -5.60606061 -0.43123788 0.06774681 -0.01625022
0.80000000 -5.47474747 -0.42869032 0.06576889 -0.01618646
0.80000000 -5.34343434 -0.42629094 0.06381376 -0.01605372
0.80000000 -5.21212121 -0.42421077 0.06189025 -0.01582903
0.80000000 -5.08080808 -0.42254684 0.06000168 -0.01549418
0.80000000 -4.94949495 -0.42122855 0.05813976 -0.01504340
0.80000000 -4.81818182 -0.42009117 0.05629475 -0.01449861
0.80000000 -4.68686869 -0.41887161 0.05445665 -0.01391638
0.80000000 -4.55555556 -0.41746019 0.05261645 -0.01332427
0.80000000 -4.42424242 -0.41592012 0.05076717 -0.01271475
0.80000000 -4.29292929 -0.41438398 0.04891735 -0.01204687
0.80000000 -4.16161616 -0.41303448 0.04708816 -0.01125367
0.80000000 -4.03030303 -0.41205581 0.04530116 -0.01026742
0.80000000 -3.89898990 -0.41154840 0.04357157 -0.00904132
0.80000000 -3.76767677 -0.41092853 0.04186304 -0.00769966
0.80000000 -3.63636364 -0.40927840 0.04011403 -0.00645028
0.80000000 -3.50505051 -0.40567796 0.03826283 -0.00550157
0.80000000 -3.37373737 -0.39936422 0.03626405 -0.00501918
0.80000000 -3.24242424 -0.39027936 0.03414559 -0.00497695
0.80000000 -3.11111111 -0.37856337 0.03195594 -0.00529486
0.80000000 -2.97979798 -0.36435625 0.02974354 -0.00589295
0.80000000 -2.84848485 -0.34778982 0.02754857 -0.00670558
0.80000000 -2.71717172 -0.32897521 0.02539023 -0.00770347
0.80000000 -2.58585859 -0.30802032 0.02328439 -0.00886308
0.80000000 -2.45454545 -0.28503277 0.02124760 -0.01016026
0.80000000 -2.32323232 -0.26010570 0.01933241 -0.01153901
0.80000000 -2.19191919 -0.23331059 0.01764528 -0.01289564
0.80000000 -2.06060606 -0.20471714 0.01629712 -0.01412254
0.80000000 -1.92929293 -0.17440470 0.01539445 -0.01511696
0.80000000 -1.79797980 -0.14263910 0.01495924 -0.01587044
0.80000000 -1.66666667 -0.10985485 0.01493699 -0.01645979
0.80000000 -1.53535354 -0.07649254 0.01527043 -0.01696487
0.80000000 -1.40404040 -0.04299275 0.01590231 -0.01746557
0.80000000 -1.27272727 -0.00979607 0.01677536 -0.01804175
0.80000000 -1.14141414 0.02265691 0.01783233 -0.01877330
0.80000000 -1.01010101 0.05392560 0.01901597 -0.01974008
0.80000000 -0.87878788 0.08361274 0.02027561 -0.02099779
0.80000000 -0.74747475 0.11153944 0.02159393 -0.02248019
0.80000000 -0.61616162 0.13759551 0.02296410 -0.02408269
0.80000000 -0.48484848 0.16167076 0.02437928 -0.02570069
0.80000000 -0.35353535 0.18365503 0.02583261 -0.02722959
0.80000000 -0.22222222 0.20343813 0.02731728 -0.02856480
0.80000000 -0.09090909 0.22090990 0.02882643 -0.02960172
0.80000000 0.04040404 0.23596200 0.03035324 -0.03023657
0.80000000 0.17171717 0.24862019 0.03189113 -0.03042602
