      MACH      ALPHA     C-lift     C-drag       C-my
0.40000000 -6.00000000 -0.57438145 0.01139713 -0.01497397
0.40000000 -5.76767677 -0.54735084 0.01120696 -0.01446314
0.40000000 -5.53535354 -0.52020789 0.01103136 -0.01398811
0.40000000 -5.30303030 -0.49296479 0.01086916 -0.01354619
0.40000000 -5.07070707 -0.46563373 0.01071921 -0.01313468
0.40000000 -4.83838384 -0.43822654 0.01058036 -0.01275094
0.40000000 -4.60606061 -0.41075118 0.01045193 -0.01239299
0.40000000 -4.37373737 -0.38321340 0.01033349 -0.01205917
0.40000000 -4.14141414 -0.35562056 0.01022457 -0.01174763
0.40000000 -3.90909091 -0.32798138 0.01012469 -0.01145632
0.40000000 -3.67676768 -0.30029716 0.01003345 -0.01118442
0.40000000 -3.44444444 -0.27255951 0.00995053 -0.01093266
0.40000000 -3.21212121 -0.24478207 0.00987563 -0.01069827
0.40000000 -2.97979798 -0.21702390 0.00980841 -0.01047118
0.40000000 -2.74747475 -0.18931741 0.00974860 -0.01024558
0.40000000 -2.51515152 -0.16159605 0.00969619 -0.01003155
0.40000000 -2.28282828 -0.13378916 0.00965120 -0.00983981
0.40000000 -2.05050505 -0.10589883 0.00961352 -0.00966947
0.40000000 -1.81818182 -0.07794924 0.00958301 -0.00951612
0.40000000 -1.58585859 -0.04996457 0.00955951 -0.00937535
0.40000000 -1.35353535 -0.02196899 0.00954287 -0.00924274
0.40000000 -1.12121212 0.00601330 0.00953296 -0.00911386
0.40000000 -0.88888889 0.03395877 0.00952963 -0.00898443
0.40000000 -0.65656566 0.06186061 0.00953279 -0.00885277
0.40000000 -0.42424242 0.08972963 0.00954245 -0.00872007
0.40000000 -0.19191919 0.11757753 0.00955859 -0.00858762
0.40000000 0.04040404 0.14541599 0.00958122 -0.00845673
0.40000000 0.27272727 0.17325411 0.00961032 -0.00832832
0.40000000 0.50505051 0.20109487 0.00964586 -0.00820239
0.40000000 0.73737374 0.22894031 0.00968777 -0.00807881
0.40000000 0.96969697 0.25679248 0.00973603 -0.00795745
0.40000000 1.20202020 0.28465202 0.00979059 -0.00783795
0.40000000 1.43434343 0.31251100 0.00985151 -0.00771852
0.40000000 1.66666667 0.34035840 0.00991883 -0.00759688
0.40000000 1.89898990 0.36818316 0.00999264 -0.00747074
0.40000000 2.13131313 0.39597458 0.01007300 -0.00733785
0.40000000 2.36363636 0.42372762 0.01015997 -0.00719692
0.40000000 2.59595960 0.45144208 0.01025362 -0.00704743
0.40000000 2.82828283 0.47911787 0.01035401 -0.00688888
0.40000000 3.06060606 0.50675493 0.01046120 -0.00672079
0.40000000 3.29292929 0.53435186 0.01057531 -0.00654250
0.40000000 3.52525253 0.56190482 0.01069648 -0.00635301
0.40000000 3.75757576 0.58940969 0.01082489 -0.00615132
0.40000000 3.98989899 0.61686235 0.01096071 -0.00593639
0.40000000 4.22222222 0.64425883 0.01110410 -0.00570718
0.40000000 4.45454545 0.67159577 0.01125509 -0.00546249
