      MACH      ALPHA     C-lift     C-drag       C-my
0.70000000 -6.00000000 -0.67305743 0.04860280 -0.04525966
0.70000000 -5.86868687 -0.67165615 0.04633352 -0.04508931
0.70000000 -5.73737374 -0.66781238 0.04403339 -0.04481651
0.70000000 -5.60606061 -0.66170870 0.04171795 -0.04444853
0.70000000 -5.47474747 -0.65352768 0.03940277 -0.04399260
0.70000000 -5.34343434 -0.64345186 0.03710341 -0.04345600
0.70000000 -5.21212121 -0.63166383 0.03483542 -0.04284598
0.70000000 -5.08080808 -0.61834615 0.03261436 -0.04216980
0.70000000 -4.94949495 -0.60368038 0.03045577 -0.04143456
0.70000000 -4.81818182 -0.58780555 0.02837364 -0.04064136
0.70000000 -4.68686869 -0.57080312 0.02637998 -0.03978310
0.70000000 -4.55555556 -0.55275048 0.02448662 -0.03885212
0.70000000 -4.42424242 -0.53372423 0.02270596 -0.03784041
0.70000000 -4.29292929 -0.51378845 0.02105944 -0.03673430
0.70000000 -4.16161616 -0.49299691 0.01957595 -0.03551548
0.70000000 -4.03030303 -0.47140312 0.01828457 -0.03416549
0.70000000 -3.89898990 -0.44906808 0.01720879 -0.03267199
0.70000000 -3.76767677 -0.42611421 0.01632643 -0.03107243
0.70000000 -3.63636364 -0.40269388 0.01559297 -0.02942856
0.70000000 -3.50505051 -0.37895972 0.01496376 -0.02780233
0.70000000 -3.37373737 -0.35508030 0.01439772 -0.02624702
0.70000000 -3.24242424 -0.33129605 0.01386975 -0.02477706
0.70000000 -3.11111111 -0.30786752 0.01335929 -0.02339602
0.70000000 -2.97979798 -0.28505499 0.01284579 -0.02210744
0.70000000 -2.84848485 -0.26300741 0.01231898 -0.02091068
0.70000000 -2.71717172 -0.24159054 0.01179484 -0.01979450
0.70000000 -2.58585859 -0.22062580 0.01129344 -0.01874600
0.70000000 -2.45454545 -0.19993537 0.01083471 -0.01775241
0.70000000 -2.32323232 -0.17938138 0.01043149 -0.01680867
0.70000000 -2.19191919 -0.15888581 0.01008597 -0.01592130
0.70000000 -2.06060606 -0.13837557 0.00979947 -0.01509775
0.70000000 -1.92929293 -0.11777965 0.00957307 -0.01434506
0.70000000 -1.79797980 -0.09706693 0.00940318 -0.01366220
0.70000000 -1.66666667 -0.07624239 0.00928198 -0.01304086
0.70000000 -1.53535354 -0.05531234 0.00920153 -0.01247247
0.70000000 -1.40404040 -0.03428305 0.00915385 -0.01194844
0.70000000 -1.27272727 -0.01316083 0.00913098 -0.01146020
0.70000000 -1.14141414 0.00804805 0.00912496 -0.01099916
0.70000000 -1.01010101 0.02933728 0.00912783 -0.01055676
0.70000000 -0.87878788 0.05069917 0.00913361 -0.01012475
