      MACH      ALPHA     C-lift     C-drag       C-my
0.60000000 -6.00000000 -0.51781498 0.02891662 -0.04078778
0.60000000 -5.86262626 -0.51433750 0.02732834 -0.03967414
0.60000000 -5.72525253 -0.50971647 0.02584121 -0.03841109
0.60000000 -5.58787879 -0.50399277 0.02444658 -0.03702900
0.60000000 -5.45050505 -0.49720726 0.02313581 -0.03555824
0.60000000 -5.31313131 -0.48940083 0.02190027 -0.03402919
0.60000000 -5.17575758 -0.48061435 0.02073131 -0.03247221
0.60000000 -5.03838384 -0.47088868 0.01962030 -0.03091769
0.60000000 -4.90101010 -0.46026384 0.01855916 -0.02939491
0.60000000 -4.76363636 -0.44877132 0.01754529 -0.02792281
0.60000000 -4.62626263 -0.43643792 0.01657915 -0.02651453
0.60000000 -4.48888889 -0.42329039 0.01566122 -0.02518314
0.60000000 -4.35151515 -0.40938284 0.01479305 -0.02393547
0.60000000 -4.21414141 -0.39485539 0.01397949 -0.02275864
0.60000000 -4.07676768 -0.37986503 0.01322605 -0.02163590
0.60000000 -3.93939394 -0.36456672 0.01253817 -0.02055076
0.60000000 -3.80202020 -0.34905240 0.01191921 -0.01949411
0.60000000 -3.66464646 -0.33334060 0.01137012 -0.01846545
0.60000000 -3.52727273 -0.31744569 0.01089167 -0.01746478
0.60000000 -3.38989899 -0.30136706 0.01048438 -0.01649484
0.60000000 -3.25252525 -0.28499392 0.01014654 -0.01557849
0.60000000 -3.11515152 -0.26816629 0.00987548 -0.01474761
0.60000000 -2.97777778 -0.25072421 0.00966850 -0.01403406
0.60000000 -2.84040404 -0.23259658 0.00952008 -0.01345422
0.60000000 -2.70303030 -0.21393320 0.00941768 -0.01298596
0.60000000 -2.56565657 -0.19491760 0.00934767 -0.01260128
0.60000000 -2.42828283 -0.17572959 0.00929670 -0.01227262
0.60000000 -2.29090909 -0.15647162 0.00925679 -0.01198194
0.60000000 -2.15353535 -0.13717309 0.00922507 -0.01172013
0.60000000 -2.01616162 -0.11786054 0.00919886 -0.01147845
0.60000000 -1.87878788 -0.09855718 0.00917581 -0.01124907
0.60000000 -1.74141414 -0.07926708 0.00915559 -0.01102956
0.60000000 -1.60404040 -0.05998753 0.00913854 -0.01081937
0.60000000 -1.46666667 -0.04071583 0.00912502 -0.01061795
0.60000000 -1.32929293 -0.02144913 0.00911523 -0.01042469
0.60000000 -1.19191919 -0.00218426 0.00910905 -0.01023881
0.60000000 -1.05454545 0.01708196 0.00910634 -0.01005954
0.60000000 -0.91717172 0.03635260 0.00910697 -0.00988608
0.60000000 -0.77979798 0.05562868 0.00911083 -0.00971736
0.60000000 -0.64242424 0.07490972 0.00911789 -0.00955215
0.60000000 -0.50505051 0.09419518 0.00912811 -0.00938919
0.60000000 -0.36767677 0.11348453 0.00914145 -0.00922724
0.60000000 -0.23030303 0.13277724 0.00915786 -0.00906505
0.60000000 -0.09292929 0.15207277 0.00917730 -0.00890136
0.60000000 0.04444444 0.17137061 0.00919973 -0.00873493
0.60000000 0.18181818 0.19067115 0.00922521 -0.00856482
0.60000000 0.31919192 0.20997627 0.00925394 -0.00839054
0.60000000 0.45656566 0.22928796 0.00928612 -0.00821166
0.60000000 0.59393939 0.24860822 0.00932197 -0.00802775
0.60000000 0.73131313 0.26793906 0.00936170 -0.00783836
0.60000000 0.86868687 0.28728246 0.00940553 -0.00764307
0.60000000 1.00606061 0.30664043 0.00945367 -0.00744143
0.60000000 1.14343434 0.32601425 0.00950616 -0.00723245
0.60000000 1.28080808 0.34540263 0.00956250 -0.00701313
0.60000000 1.41818182 0.36480375 0.00962205 -0.00678005
0.60000000 1.55555556 0.38421579 0.00968415 -0.00652977
0.60000000 1.69292929 0.40363691 0.00974818 -0.00625886
0.60000000 1.83030303 0.42306528 0.00981349 -0.00596391
0.60000000 1.96767677 0.44249908 0.00987945 -0.00564147
0.60000000 2.10505051 0.46193329 0.00994613 -0.00528810
0.60000000 2.24242424 0.48133647 0.01001965 -0.00490015
0.60000000 2.37979798 0.50066412 0.01010910 -0.00447388
0.60000000 2.51717172 0.51987164 0.01022358 -0.00400553
0.60000000 2.65454545 0.53891445 0.01037220 -0.00349135
0.60000000 2.79191919 0.55774794 0.01056408 -0.00292761
0.60000000 2.92929293 0.57632752 0.01080833 -0.00231055
0.60000000 3.06666667 0.59460958 0.01111390 -0.00163664
0.60000000 3.20404040 0.61257472 0.01148612 -0.00090745
0.60000000 3.34141414 0.63022870 0.01192656 -0.00012990
0.60000000 3.47878788 0.64757846 0.01243658 0.00068886
0.60000000 3.61616162 0.66463094 0.01301758 0.00154169
0.60000000 3.75353535 0.68139306 0.01367094 0.00242142
0.60000000 3.89090909 0.69787177 0.01439802 0.00332091
0.60000000 4.02828283 0.71407385 0.01520022 0.00423301
0.60000000 4.16565657 0.72997834 0.01607763 0.00515377
0.60000000 4.30303030 0.74550335 0.01702754 0.00608620
0.60000000 4.44040404 0.76055889 0.01804690 0.00703424
0.60000000 4.57777778 0.77505498 0.01913265 0.00800183
0.60000000 4.71515152 0.78890164 0.02028170 0.00899291
0.60000000 4.85252525 0.80200888 0.02149099 0.01001143
0.60000000 4.98989899 0.81428673 0.02275746 0.01106132
0.60000000 5.12727273 0.82564812 0.02407836 0.01214307
0.60000000 5.26464646 0.83602063 0.02545251 0.01323999
0.60000000 5.40202020 0.84533638 0.02687924 0.01433001
0.60000000 5.53939394 0.85352749 0.02835787 0.01539107
0.60000000 5.67676768 0.86052608 0.02988771 0.01640111
0.60000000 5.81414141 0.86626427 0.03146809 0.01733807
0.60000000 5.95151515 0.87067418 0.03309833 0.01817989
0.60000000 6.08888889 0.87369464 0.03477842 0.01890240
0.60000000 6.22626263 0.87534810 0.03651664 0.01945529
0.60000000 6.36363636 0.87571371 0.03832679 0.01977095
0.60000000 6.50101010 0.87486566 0.04021868 0.01979609
0.60000000 6.63838384 0.87287190 0.04219760 0.01949368
0.60000000 6.77575758 0.86983395 0.04426504 0.01884695
0.60000000 6.91313131 0.86591400 0.04641612 0.01787387
0.60000000 7.05050505 0.86128071 0.04864517 0.01659639
0.60000000 7.18787879 0.85610886 0.05094231 0.01505490
0.60000000 7.32525253 0.85058181 0.05329165 0.01331581
0.60000000 7.46262626 0.84488363 0.05567685 0.01144751
0.60000000 7.60000000 0.83919834 0.05808157 0.00951839
