      MACH      ALPHA     C-lift     C-drag       C-my
0.50000000 -5.50000000 -0.52116637 0.01371416 -0.02131625
0.50000000 -5.30303030 -0.50534650 0.01270822 -0.01956493
0.50000000 -5.10606061 -0.48761470 0.01189516 -0.01802626
0.50000000 -4.90909091 -0.46812634 0.01125661 -0.01670279
0.50000000 -4.71212121 -0.44703678 0.01077420 -0.01559709
0.50000000 -4.51515152 -0.42450138 0.01042958 -0.01471171
0.50000000 -4.31818182 -0.40071908 0.01020138 -0.01403945
0.50000000 -4.12121212 -0.37610845 0.01005317 -0.01352395
0.50000000 -3.92424242 -0.35115258 0.00994414 -0.01309398
0.50000000 -3.72727273 -0.32613945 0.00984915 -0.01270503
0.50000000 -3.53030303 -0.30109306 0.00976424 -0.01234873
0.50000000 -3.33333333 -0.27601853 0.00968717 -0.01201965
0.50000000 -3.13636364 -0.25092008 0.00961714 -0.01171479
0.50000000 -2.93939394 -0.22580153 0.00955390 -0.01143211
0.50000000 -2.74242424 -0.20066605 0.00949727 -0.01116962
0.50000000 -2.54545455 -0.17551573 0.00944712 -0.01092541
0.50000000 -2.34848485 -0.15035255 0.00940333 -0.01069761
0.50000000 -2.15151515 -0.12517849 0.00936559 -0.01048456
0.50000000 -1.95454545 -0.09999554 0.00933352 -0.01028471
0.50000000 -1.75757576 -0.07480725 0.00930693 -0.01009626
0.50000000 -1.56060606 -0.04962032 0.00928607 -0.00991702
0.50000000 -1.36363636 -0.02444111 0.00927120 -0.00974483
0.50000000 -1.16666667 0.00073208 0.00926219 -0.00957901
0.50000000 -0.96969697 0.02590581 0.00925871 -0.00941975
0.50000000 -0.77272727 0.05108437 0.00926049 -0.00926685
0.50000000 -0.57575758 0.07626622 0.00926754 -0.00911904
0.50000000 -0.37878788 0.10144889 0.00927989 -0.00897489
0.50000000 -0.18181818 0.12662991 0.00929758 -0.00883298
0.50000000 0.01515152 0.15180680 0.00932065 -0.00869189
0.50000000 0.21212121 0.17697803 0.00934911 -0.00855037
0.50000000 0.40909091 0.20214500 0.00938294 -0.00840769
0.50000000 0.60606061 0.22730969 0.00942210 -0.00826325
0.50000000 0.80303030 0.25247410 0.00946658 -0.00811646
0.50000000 1.00000000 0.27764020 0.00951632 -0.00796669
0.50000000 1.19696970 0.30280895 0.00957132 -0.00781318
0.50000000 1.39393939 0.32797715 0.00963161 -0.00765450
0.50000000 1.59090909 0.35314053 0.00969728 -0.00748904
0.50000000 1.78787879 0.37829486 0.00976837 -0.00731521
0.50000000 1.98484848 0.40343589 0.00984497 -0.00713140
0.50000000 2.18181818 0.42855997 0.00992713 -0.00693609
0.50000000 2.37878788 0.45366653 0.01001492 -0.00672816
0.50000000 2.57575758 0.47875594 0.01010843 -0.00650661
0.50000000 2.77272727 0.50382858 0.01020771 -0.00627044
0.50000000 2.96969697 0.52888483 0.01031284 -0.00601866
0.50000000 3.16666667 0.55392472 0.01042391 -0.00575018
0.50000000 3.36363636 0.57894598 0.01054105 -0.00546351
0.50000000 3.56060606 0.60394545 0.01066443 -0.00515694
0.50000000 3.75757576 0.62891999 0.01079423 -0.00482877
0.50000000 3.95454545 0.65386642 0.01093060 -0.00447732
0.50000000 4.15151515 0.67878203 0.01107371 -0.00410092
0.50000000 4.34848485 0.70366780 0.01122367 -0.00369812
0.50000000 4.54545455 0.72852645 0.01138057 -0.00326763
0.50000000 4.74242424 0.75336076 0.01154450 -0.00280810
0.50000000 4.93939394 0.77817349 0.01171554 -0.00231824
0.50000000 5.13636364 0.80296620 0.01189382 -0.00179650
0.50000000 5.33333333 0.82772780 0.01207993 -0.00123911
0.50000000 5.53030303 0.85243958 0.01227472 -0.00064097
0.50000000 5.72727273 0.87708270 0.01247905 0.00000305
0.50000000 5.92424242 0.90163835 0.01269379 0.00069809
0.50000000 6.12121212 0.92609114 0.01291985 0.00144904
0.50000000 6.31818182 0.95047424 0.01315909 0.00225754
0.50000000 6.51515152 0.97475035 0.01342017 0.00313358
0.50000000 6.71212121 0.99856461 0.01373035 0.00411884
0.50000000 6.90909091 1.02158181 0.01411816 0.00524149
0.50000000 7.10606061 1.04353936 0.01460998 0.00651276
0.50000000 7.30303030 1.06427750 0.01522710 0.00793203
0.50000000 7.50000000 1.08373362 0.01598450 0.00948536
0.50000000 7.69696970 1.10187824 0.01689041 0.01114589
0.50000000 7.89393939 1.11884838 0.01795021 0.01287478
0.50000000 8.09090909 1.13492179 0.01916796 0.01462563
0.50000000 8.28787879 1.14973324 0.02054756 0.01640056
0.50000000 8.48484848 1.16249617 0.02209239 0.01823168
0.50000000 8.68181818 1.17379424 0.02380385 0.02004008
0.50000000 8.87878788 1.18370929 0.02567702 0.02177610
0.50000000 9.07575758 1.19117799 0.02769986 0.02346859
0.50000000 9.27272727 1.19583986 0.02986326 0.02509156
0.50000000 9.46969697 1.19830109 0.03216596 0.02653618
0.50000000 9.66666667 1.19873925 0.03462689 0.02767710
0.50000000 9.86363636 1.19727929 0.03726369 0.02841647
0.50000000 10.06060606 1.19425211 0.04008045 0.02870522
0.50000000 10.25757576 1.18970857 0.04306854 0.02851672
0.50000000 10.45454545 1.18327383 0.04620789 0.02784137
0.50000000 10.65151515 1.17506077 0.04953620 0.02656907
0.50000000 10.84848485 1.16549512 0.05307373 0.02466312
