      MACH      ALPHA     C-lift     C-drag       C-my
0.30000000 -6.00000000 -0.54949398 0.01163722 -0.01315366
0.30000000 -5.76767677 -0.52360460 0.01147413 -0.01281752
0.30000000 -5.53535354 -0.49757824 0.01132013 -0.01250488
0.30000000 -5.30303030 -0.47145689 0.01117569 -0.01220998
0.30000000 -5.07070707 -0.44528256 0.01104129 -0.01192708
0.30000000 -4.83838384 -0.41909013 0.01091725 -0.01165149
0.30000000 -4.60606061 -0.39284002 0.01080215 -0.01138978
0.30000000 -4.37373737 -0.36645404 0.01069364 -0.01115426
0.30000000 -4.14141414 -0.33996472 0.01059182 -0.01094000
0.30000000 -3.90909091 -0.31350140 0.01049888 -0.01072697
0.30000000 -3.67676768 -0.28709420 0.01041540 -0.01051058
0.30000000 -3.44444444 -0.26063718 0.01033972 -0.01030748
0.30000000 -3.21212121 -0.23408515 0.01027059 -0.01012490
0.30000000 -2.97979798 -0.20753333 0.01020791 -0.00994838
0.30000000 -2.74747475 -0.18104614 0.01015170 -0.00976777
0.30000000 -2.51515152 -0.15454143 0.01010204 -0.00959433
0.30000000 -2.28282828 -0.12792844 0.01005897 -0.00944068
0.30000000 -2.05050505 -0.10121190 0.01002249 -0.00930595
0.30000000 -1.81818182 -0.07442552 0.00999262 -0.00918515
0.30000000 -1.58585859 -0.04760302 0.00996934 -0.00907333
0.30000000 -1.35353535 -0.02077814 0.00995266 -0.00896551
0.30000000 -1.12121212 0.00601540 0.00994257 -0.00885673
0.30000000 -0.88888889 0.03274484 0.00993906 -0.00874215
0.30000000 -0.65656566 0.05940210 0.00994196 -0.00862044
0.30000000 -0.42424242 0.08600520 0.00995089 -0.00849398
0.30000000 -0.19191919 0.11257344 0.00996546 -0.00836534
0.30000000 0.04040404 0.13912609 0.00998530 -0.00823708
0.30000000 0.27272727 0.16567940 0.01001023 -0.00811145
0.30000000 0.50505051 0.19224242 0.01004050 -0.00799000
0.30000000 0.73737374 0.21882311 0.01007646 -0.00787416
0.30000000 0.96969697 0.24542945 0.01011843 -0.00776537
0.30000000 1.20202020 0.27206643 0.01016672 -0.00766454
0.30000000 1.43434343 0.29872142 0.01022130 -0.00756953
0.30000000 1.66666667 0.32537529 0.01028204 -0.00747707
0.30000000 1.89898990 0.35200890 0.01034884 -0.00738386
0.30000000 2.13131313 0.37860374 0.01042155 -0.00728675
0.30000000 2.36363636 0.40515223 0.01050016 -0.00718430
0.30000000 2.59595960 0.43165601 0.01058470 -0.00707660
0.30000000 2.82828283 0.45811700 0.01067521 -0.00696376
0.30000000 3.06060606 0.48453710 0.01077172 -0.00684589
0.30000000 3.29292929 0.51091694 0.01087434 -0.00672305
0.30000000 3.52525253 0.53725478 0.01098328 -0.00659514
0.30000000 3.75757576 0.56354858 0.01109877 -0.00646204
0.30000000 3.98989899 0.58979632 0.01122104 -0.00632365
0.30000000 4.22222222 0.61599383 0.01135027 -0.00617940
0.30000000 4.45454545 0.64212716 0.01148640 -0.00602661
0.30000000 4.68686869 0.66817956 0.01162934 -0.00586203
0.30000000 4.91919192 0.69413430 0.01177895 -0.00568237
0.30000000 5.15151515 0.71997721 0.01193518 -0.00548493
0.30000000 5.38383838 0.74572579 0.01209874 -0.00527386
0.30000000 5.61616162 0.77141872 0.01227081 -0.00505791
0.30000000 5.84848485 0.79709511 0.01245260 -0.00484589
0.30000000 6.08080808 0.82279191 0.01264524 -0.00464615
0.30000000 6.31313131 0.84843072 0.01284637 -0.00443972
0.30000000 6.54545455 0.87382464 0.01305170 -0.00418446
0.30000000 6.77777778 0.89899630 0.01326692 -0.00389484
0.30000000 7.01010101 0.92408660 0.01349368 -0.00360493
0.30000000 7.24242424 0.94919239 0.01372874 -0.00332812
0.30000000 7.47474747 0.97414866 0.01396523 -0.00300481
0.30000000 7.70707071 0.99889652 0.01421489 -0.00265837
0.30000000 7.93939394 1.02348188 0.01448181 -0.00231240
0.30000000 8.17171717 1.04796291 0.01475234 -0.00193712
0.30000000 8.40404040 1.07231066 0.01503302 -0.00154078
0.30000000 8.63636364 1.09645955 0.01533020 -0.00112917
0.30000000 8.86868687 1.12039571 0.01563984 -0.00069198
0.30000000 9.10101010 1.14420409 0.01596409 -0.00024691
0.30000000 9.33333333 1.16787199 0.01630207 0.00021051
0.30000000 9.56565657 1.19129343 0.01665189 0.00070162
0.30000000 9.79797980 1.21446468 0.01701986 0.00121394
0.30000000 10.03030303 1.23740989 0.01740221 0.00175176
0.30000000 10.26262626 1.26014620 0.01779621 0.00231741
0.30000000 10.49494949 1.28265375 0.01821186 0.00289010
0.30000000 10.72727273 1.30486505 0.01864629 0.00348609
0.30000000 10.95959596 1.32676353 0.01909901 0.00411208
0.30000000 11.19191919 1.34838683 0.01957641 0.00475305
0.30000000 11.42424242 1.36972657 0.02007911 0.00540739
0.30000000 11.65656566 1.39075254 0.02060554 0.00607934
0.30000000 11.88888889 1.41141388 0.02115756 0.00677209
0.30000000 12.12121212 1.43164672 0.02173918 0.00748815
0.30000000 12.35353535 1.45138766 0.02235446 0.00822995
0.30000000 12.58585859 1.47067357 0.02300517 0.00898850
0.30000000 12.81818182 1.48965574 0.02369107 0.00973972
